City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
302,badiyah,22.45,58.8,28.27000000000004,63,37,2.59,OM,1723668880
303,cooper's town,26.8667,-77.5167,29.58000000000004,70,84,1.27,BS,1723668882
304,cole harbour,44.6724,-63.4751,22.980000000000018,68,100,2.06,CA,1723668883
305,queenstown,-31.8976,26.8753,4.980000000000018,53,0,1.4,ZA,1723668884
306,ierapetra,35.01,25.7353,28.410000000000025,60,0,0.89,GR,1723668885
307,catalao,-18.1658,-47.9464,24.910000000000025,32,1,2.49,BR,1723668886
308,douentza,14.9951,-2.9517,30.560000000000002,57,100,6.56,ML,1723668888
309,guercif,34.2257,-3.3536,26.760000000000048,40,0,5.71,MA,1723668889
310,yakeshi,49.2833,120.7333,16.950000000000045,72,100,1.43,CN,1723668890
311,harqalah,36.0303,10.509,29.920000000000016,89,20,3.6,TN,1723668891
312,narrabri,-30.3167,149.7833,14.730000000000018,96,100,1.28,AU,1723668893
313,liberal,37.0431,-100.921,36.08000000000004,32,0,6.69,US,1723668894
314,kruisfontein,-34.0033,24.7314,12.710000000000036,67,100,9.29,ZA,1723668895
315,mumford,5.2618,-0.759,23.77000000000004,86,66,4.29,GH,1723668896
316,waingapu,-9.6567,120.2641,20.82000000000005,73,9,2.61,ID,1723668897
317,tamanrasset,22.785,5.5228,25.950000000000045,53,40,3.6,DZ,1723668899
318,akureyri,65.6835,-18.0878,12.960000000000036,71,100,3.09,IS,1723668900
319,haiku-pauwela,20.9219,-156.3051,27.920000000000016,68,20,9.26,US,1723668901
320,jinghong,21.991,100.7341,21.689999999999998,99,100,0.52,CN,1723668902
321,broome,42.2506,-75.833,26.220000000000027,64,100,3.09,US,1723668905
322,ipora,-16.4419,-51.1178,29.180000000000007,20,3,2.27,BR,1723668906
323,al jubayl,27.0112,49.6583,34.920000000000016,44,1,2.65,SA,1723668907
324,machina,13.1364,10.0492,25.410000000000025,78,54,3.24,NG,1723668908
325,touros,-5.1989,-35.4608,24.670000000000016,76,0,7.57,BR,1723668910
326,nongpoh,25.9,91.8833,22.04000000000002,97,100,1.75,IN,1723668911
327,markovo,57.3206,107.0881,12.740000000000009,96,27,1.89,RU,1723668912
328,neiafu,-18.65,-173.9833,20.379999999999995,77,75,4.12,TO,1723668913
